company_id,company_name,sector,cfo_quality_score,cfo_quality_label,capex_intensity_pct,capex_label,fcf_cagr_5yr,fcf_conversion_pct,distress_flag,deleveraging_flag,capital_allocation_label
ABB,Abbott India Ltd,Industrials,3.22,High Quality,84.51,Capital Intensive,61.49,75.36,False,True,
ADANIENSOL,Adani Energy Solutions Ltd,Energy,4.39,High Quality,29.76,Capital Intensive,,19.17,False,False,
ADANIENT,Adani Enterprises Ltd,Industrials,3.67,High Quality,19.46,Capital Intensive,,-74.32,False,False,
ADANIGREEN,Adani Green Energy Ltd,Energy,-0.02,Accrual Risk,228.42,Capital Intensive,,-182.39,False,False,
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,2.04,High Quality,25.34,Capital Intensive,5.53,52.92,False,False,
ADANIPOWER,Adani Power Ltd,Energy,1.32,High Quality,6.91,Moderate,52.15,96.83,False,False,
AMBUJACEM,Ambuja Cements Ltd,Materials,1.29,High Quality,26.96,Capital Intensive,,-51.48,False,False,
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,3.49,High Quality,8.06,Capital Intensive,-21.41,16.0,False,False,
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,0.93,Moderate,7.18,Moderate,8.99,46.88,False,False,
AXISBANK,Axis Bank Ltd,Financials,4.97,High Quality,8.23,Capital Intensive,,-38.36,True,False,
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,0.82,Moderate,0.16,Asset Light,9.73,74.0,False,False,
BAJAJFINSV,Bajaj Finserv Ltd,Financials,-2.99,Accrual Risk,9.93,Capital Intensive,,-194.77,True,False,
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,0.34,Accrual Risk,27.73,Capital Intensive,7.02,94.05,False,True,
BAJFINANCE,Bajaj Finance Ltd,Financials,-3.76,Accrual Risk,13.04,Capital Intensive,,-496.5,True,False,
BANKBARODA,Bank of Baroda,Financials,3.47,High Quality,1.09,Asset Light,,-17.03,True,False,
BEL,Bharat Electronics Ltd,Industrials,1.43,High Quality,29.23,Capital Intensive,,-25.04,False,False,
BHARTIARTL,Bharti Airtel Ltd,Communication Services,3.33,High Quality,34.06,Capital Intensive,,35.52,False,False,
BHEL,"Bharat Heavy Electricals Limited
",Industrials,-2.21,Accrual Risk,5.57,Moderate,,-335.02,True,False,
BOSCHLTD,Bosch Ltd,Consumer Discretionary,1.07,High Quality,1.69,Asset Light,34.96,73.32,False,True,
BPCL,Bharat Petroleum Corporation Ltd,Energy,2.49,High Quality,2.35,Asset Light,,57.65,False,False,
BRITANNIA,Britannia Industries Ltd,Consumer Staples,1.05,High Quality,2.84,Asset Light,,96.31,False,False,
CANBK,Canara Bank,Financials,4.07,High Quality,1.58,Asset Light,,28.81,False,False,
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,-6.2,Accrual Risk,14.9,Capital Intensive,,-715.65,True,False,
CIPLA,"Cipla Ltd
",Healthcare,1.41,High Quality,11.57,Capital Intensive,-22.43,5.91,False,True,
COALINDIA,Coal India Ltd,Materials,1.02,High Quality,3.15,Moderate,22.69,14.43,False,False,
DABUR,Dabur India Ltd,Consumer Staples,1.08,High Quality,7.83,Moderate,-1.28,43.42,False,False,
DIVISLAB,Divis Laboratories Ltd,Healthcare,0.93,Moderate,3.43,Moderate,-3.27,44.89,False,False,
DLF,DLF Ltd,Real Estate,0.95,Moderate,23.79,Capital Intensive,-38.07,47.55,False,False,
DMART,Avenue Supermarts Ltd,Consumer Discretionary,1.07,High Quality,4.86,Moderate,,6.77,False,False,
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,1.34,High Quality,14.4,Capital Intensive,-32.75,6.42,False,False,
